substance,ec,cas,clp_class,h_code
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea",206-354-4,330-54-1,Acute Tox. 4 *,H302
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea",206-354-4,330-54-1,STOT RE 2 *,H373 **
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea",206-354-4,330-54-1,Aquatic Acute 1,H400
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea",206-354-4,330-54-1,Aquatic Chronic 1,H410
propoxur (ISO); 2-isopropyloxyphenyl N-methylcarbamate; 2-isopropoxyphenyl methylcarbamate,204-043-8,114-26-1,Acute Tox. 3 *,H301
propoxur (ISO); 2-isopropyloxyphenyl N-methylcarbamate; 2-isopropoxyphenyl methylcarbamate,204-043-8,114-26-1,Aquatic Acute 1,H400
propoxur (ISO); 2-isopropyloxyphenyl N-methylcarbamate; 2-isopropoxyphenyl methylcarbamate,204-043-8,114-26-1,Aquatic Chronic 1,H410
aldicarb (ISO); 2-methyl-2-(methylthio)propanal-O-(N-methylcarbamoyl)oxime,204-123-2,116-06-3,Acute Tox. 2 *,H330
aldicarb (ISO); 2-methyl-2-(methylthio)propanal-O-(N-methylcarbamoyl)oxime,204-123-2,116-06-3,Acute Tox. 2 *,H300
aldicarb (ISO); 2-methyl-2-(methylthio)propanal-O-(N-methylcarbamoyl)oxime,204-123-2,116-06-3,Acute Tox. 3 *,H311
aldicarb (ISO); 2-methyl-2-(methylthio)propanal-O-(N-methylcarbamoyl)oxime,204-123-2,116-06-3,Aquatic Acute 1,H400
aldicarb (ISO); 2-methyl-2-(methylthio)propanal-O-(N-methylcarbamoyl)oxime,204-123-2,116-06-3,Aquatic Chronic 1,H410
aminocarb (ISO); 4-dimethylamino-3-tolyl methylcarbamate,217-990-7,2032-59-9,Acute Tox. 3 *,H311
aminocarb (ISO); 4-dimethylamino-3-tolyl methylcarbamate,217-990-7,2032-59-9,Acute Tox. 3 *,H301
aminocarb (ISO); 4-dimethylamino-3-tolyl methylcarbamate,217-990-7,2032-59-9,Aquatic Acute 1,H400
aminocarb (ISO); 4-dimethylamino-3-tolyl methylcarbamate,217-990-7,2032-59-9,Aquatic Chronic 1,H410
"di-allate (ISO); S-(2,3-dichloroallyl)-N,N-diisopropylthiocarbamate",218-961-1,2303-16-4,Carc. 2,H351
"di-allate (ISO); S-(2,3-dichloroallyl)-N,N-diisopropylthiocarbamate",218-961-1,2303-16-4,Acute Tox. 4 *,H302
"di-allate (ISO); S-(2,3-dichloroallyl)-N,N-diisopropylthiocarbamate",218-961-1,2303-16-4,Aquatic Acute 1,H400
"di-allate (ISO); S-(2,3-dichloroallyl)-N,N-diisopropylthiocarbamate",218-961-1,2303-16-4,Aquatic Chronic 1,H410
barban (ISO); 4-chlorbut-2-ynyl N-(3-chlorophenyl)carbamate,202-930-4,101-27-9,Acute Tox. 4 *,H302
barban (ISO); 4-chlorbut-2-ynyl N-(3-chlorophenyl)carbamate,202-930-4,101-27-9,Skin Sens. 1,H317
barban (ISO); 4-chlorbut-2-ynyl N-(3-chlorophenyl)carbamate,202-930-4,101-27-9,Aquatic Acute 1,H400
barban (ISO); 4-chlorbut-2-ynyl N-(3-chlorophenyl)carbamate,202-930-4,101-27-9,Aquatic Chronic 1,H410
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,Carc. 2,H351
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,Repr. 1B,H360Df
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,Acute Tox. 4 *,H302
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,STOT RE 2 *,H373 **
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,Aquatic Acute 1,H400
"linuron (ISO); 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",206-356-5,330-55-2,Aquatic Chronic 1,H410
"decarbofuran (ISO); 2,3-dihydro-2-methylbenzofuran-7-yl methylcarbamate",NA,1563-67-3,Acute Tox. 3 *,H331
"decarbofuran (ISO); 2,3-dihydro-2-methylbenzofuran-7-yl methylcarbamate",NA,1563-67-3,Acute Tox. 3 *,H311
"decarbofuran (ISO); 2,3-dihydro-2-methylbenzofuran-7-yl methylcarbamate",NA,1563-67-3,Acute Tox. 3 *,H301
"mercaptodimethur (ISO); methiocarb (ISO); 3,5-dimethyl-4-methylthiophenyl N-methylcarbamate",217-991-2,2032-65-7,Acute Tox. 3 *,H301
"mercaptodimethur (ISO); methiocarb (ISO); 3,5-dimethyl-4-methylthiophenyl N-methylcarbamate",217-991-2,2032-65-7,Aquatic Acute 1,H400
"mercaptodimethur (ISO); methiocarb (ISO); 3,5-dimethyl-4-methylthiophenyl N-methylcarbamate",217-991-2,2032-65-7,Aquatic Chronic 1,H410
proxan-sodium (ISO); sodium O-isopropyldithiocarbonate,205-443-5,140-93-2,Acute Tox. 4 *,H302
proxan-sodium (ISO); sodium O-isopropyldithiocarbonate,205-443-5,140-93-2,Skin Irrit. 2,H315
proxan-sodium (ISO); sodium O-isopropyldithiocarbonate,205-443-5,140-93-2,Aquatic Chronic 2,H411
"allethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1RS,3RS;1RS,3SR)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate; bioallethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [1]
S-bioallethrin; (S)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [2]
esbiothrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate  [3]
","209-542-4 [1]
249-013-5 [2]
249-013-5 [3]
","584-79-2 [1]
28434-00-6 [2]
84030-86-4 [3]
",Acute Tox. 4 *,H332
"allethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1RS,3RS;1RS,3SR)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate; bioallethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [1]
S-bioallethrin; (S)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [2]
esbiothrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate  [3]
","209-542-4 [1]
249-013-5 [2]
249-013-5 [3]
","584-79-2 [1]
28434-00-6 [2]
84030-86-4 [3]
",Acute Tox. 4 *,H302
"allethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1RS,3RS;1RS,3SR)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate; bioallethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [1]
S-bioallethrin; (S)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [2]
esbiothrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate  [3]
","209-542-4 [1]
249-013-5 [2]
249-013-5 [3]
","584-79-2 [1]
28434-00-6 [2]
84030-86-4 [3]
",Aquatic Acute 1,H400
"allethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1RS,3RS;1RS,3SR)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate; bioallethrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [1]
S-bioallethrin; (S)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate [2]
esbiothrin; (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate  [3]
","209-542-4 [1]
249-013-5 [2]
249-013-5 [3]
","584-79-2 [1]
28434-00-6 [2]
84030-86-4 [3]
",Aquatic Chronic 1,H410
"carbofuran (ISO); 2,3-dihydro-2,2-dimethylbenzofuran-7-yl N-methylcarbamate",216-353-0,1563-66-2,Acute Tox. 2 *,H330
"carbofuran (ISO); 2,3-dihydro-2,2-dimethylbenzofuran-7-yl N-methylcarbamate",216-353-0,1563-66-2,Acute Tox. 2 *,H300
"carbofuran (ISO); 2,3-dihydro-2,2-dimethylbenzofuran-7-yl N-methylcarbamate",216-353-0,1563-66-2,Aquatic Acute 1,H400
"carbofuran (ISO); 2,3-dihydro-2,2-dimethylbenzofuran-7-yl N-methylcarbamate",216-353-0,1563-66-2,Aquatic Chronic 1,H410
"dinobuton (ISO); 2-(1-methylpropyl)-4,6-dinitrophenyl isopropyl carbonate",213-546-1,973-21-7,Acute Tox. 3 *,H301
"dinobuton (ISO); 2-(1-methylpropyl)-4,6-dinitrophenyl isopropyl carbonate",213-546-1,973-21-7,Aquatic Acute 1,H400
"dinobuton (ISO); 2-(1-methylpropyl)-4,6-dinitrophenyl isopropyl carbonate",213-546-1,973-21-7,Aquatic Chronic 1,H410
"dioxacarb (ISO); 2-(1,3-dioxolan-2-yl)phenyl N-methylcarbamate",230-253-4,6988-21-2,Acute Tox. 3 *,H301
"dioxacarb (ISO); 2-(1,3-dioxolan-2-yl)phenyl N-methylcarbamate",230-253-4,6988-21-2,Aquatic Chronic 2,H411
EPTC (ISO); S-ethyl dipropylthiocarbamate,212-073-8,759-94-4,Acute Tox. 4 *,H302
formetanate (ISO); 3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate,244-879-0,22259-30-9,Acute Tox. 2 *,H330
formetanate (ISO); 3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate,244-879-0,22259-30-9,Acute Tox. 2 *,H300
formetanate (ISO); 3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate,244-879-0,22259-30-9,Skin Sens. 1,H317
formetanate (ISO); 3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate,244-879-0,22259-30-9,Aquatic Acute 1,H400
formetanate (ISO); 3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate,244-879-0,22259-30-9,Aquatic Chronic 1,H410
monolinuron (ISO); 3-(4-chlorophenyl)-1-methoxy-1-methylurea,217-129-5,1746-81-2,Acute Tox. 4 *,H302
monolinuron (ISO); 3-(4-chlorophenyl)-1-methoxy-1-methylurea,217-129-5,1746-81-2,STOT RE 2 *,H373 **
monolinuron (ISO); 3-(4-chlorophenyl)-1-methoxy-1-methylurea,217-129-5,1746-81-2,Aquatic Acute 1,H400
monolinuron (ISO); 3-(4-chlorophenyl)-1-methoxy-1-methylurea,217-129-5,1746-81-2,Aquatic Chronic 1,H410
"metoxuron (ISO); 3-(3-chloro-4-methoxyphenyl)-1,1-dimethylurea",243-433-2,19937-59-8,Aquatic Acute 1,H400
"metoxuron (ISO); 3-(3-chloro-4-methoxyphenyl)-1,1-dimethylurea",243-433-2,19937-59-8,Aquatic Chronic 1,H410
pebulate (ISO); N-butyl-N-ethyl-S-propylthiocarbamate,214-215-4,1114-71-2,Acute Tox. 4 *,H302
pebulate (ISO); N-butyl-N-ethyl-S-propylthiocarbamate,214-215-4,1114-71-2,Aquatic Chronic 2,H411
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Carc. 2,H351
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Acute Tox. 3,H331
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Acute Tox. 3,H301
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Skin Sens. 1,H317
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Aquatic Acute 1,H400
"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",245-430-1,23103-98-2,Aquatic Chronic 1,H410
benzthiazuron (ISO); 1-benzothiazol-2-yl-3-methylurea,217-685-9,1929-88-0,Acute Tox. 4 *,H302
promecarb (ISO); 3-isopropyl-5-methylphenyl N-methylcarbamate,220-113-0,2631-37-0,Acute Tox. 3 *,H301
promecarb (ISO); 3-isopropyl-5-methylphenyl N-methylcarbamate,220-113-0,2631-37-0,Aquatic Acute 1,H400
promecarb (ISO); 3-isopropyl-5-methylphenyl N-methylcarbamate,220-113-0,2631-37-0,Aquatic Chronic 1,H410
"sulfallate (ISO); 2-chloroallyl N,N-dimethyldithiocarbamate",202-388-9,95-06-7,Carc. 1B,H350
"sulfallate (ISO); 2-chloroallyl N,N-dimethyldithiocarbamate",202-388-9,95-06-7,Acute Tox. 4 *,H302
"sulfallate (ISO); 2-chloroallyl N,N-dimethyldithiocarbamate",202-388-9,95-06-7,Aquatic Acute 1,H400
"sulfallate (ISO); 2-chloroallyl N,N-dimethyldithiocarbamate",202-388-9,95-06-7,Aquatic Chronic 1,H410
"tri-allate (ISO); S-2,3,3-trichloroallyl diisopropylthiocarbamate",218-962-7,2303-17-5,Acute Tox. 4 *,H302
"tri-allate (ISO); S-2,3,3-trichloroallyl diisopropylthiocarbamate",218-962-7,2303-17-5,STOT RE 2 *,H373 **
"tri-allate (ISO); S-2,3,3-trichloroallyl diisopropylthiocarbamate",218-962-7,2303-17-5,Skin Sens. 1,H317
"tri-allate (ISO); S-2,3,3-trichloroallyl diisopropylthiocarbamate",218-962-7,2303-17-5,Aquatic Acute 1,H400
"tri-allate (ISO); S-2,3,3-trichloroallyl diisopropylthiocarbamate",218-962-7,2303-17-5,Aquatic Chronic 1,H410
3-methylpyrazol-5-yl-dimethylcarbamate; monometilan,NA,2532-43-6,Acute Tox. 3 *,H331
3-methylpyrazol-5-yl-dimethylcarbamate; monometilan,NA,2532-43-6,Acute Tox. 3 *,H311
3-methylpyrazol-5-yl-dimethylcarbamate; monometilan,NA,2532-43-6,Acute Tox. 3 *,H301
dimethylcarbamoyl chloride,201-208-6,79-44-7,Carc. 1B,H350
dimethylcarbamoyl chloride,201-208-6,79-44-7,Acute Tox. 3 *,H331
dimethylcarbamoyl chloride,201-208-6,79-44-7,Acute Tox. 4 *,H302
dimethylcarbamoyl chloride,201-208-6,79-44-7,STOT SE 3,H335
dimethylcarbamoyl chloride,201-208-6,79-44-7,Skin Irrit. 2,H315
dimethylcarbamoyl chloride,201-208-6,79-44-7,Eye Irrit. 2,H319
"monuron (ISO); 3-(4-chlorophenyl)-1,1-dimethylurea",205-766-1,150-68-5,Carc. 2,H351
"monuron (ISO); 3-(4-chlorophenyl)-1,1-dimethylurea",205-766-1,150-68-5,Acute Tox. 4 *,H302
"monuron (ISO); 3-(4-chlorophenyl)-1,1-dimethylurea",205-766-1,150-68-5,Aquatic Acute 1,H400
"monuron (ISO); 3-(4-chlorophenyl)-1,1-dimethylurea",205-766-1,150-68-5,Aquatic Chronic 1,H410
"3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate; monuron-TCA",NA,140-41-0,Carc. 2,H351
"3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate; monuron-TCA",NA,140-41-0,Skin Irrit. 2,H315
"3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate; monuron-TCA",NA,140-41-0,Eye Irrit. 2,H319
"3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate; monuron-TCA",NA,140-41-0,Aquatic Acute 1,H400
"3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate; monuron-TCA",NA,140-41-0,Aquatic Chronic 1,H410
"isoproturon (ISO); 3-(4-isopropylphenyl)-1,1-dimethylurea",251-835-4,34123-59-6,Carc. 2,H351
"isoproturon (ISO); 3-(4-isopropylphenyl)-1,1-dimethylurea",251-835-4,34123-59-6,Aquatic Acute 1,H400
"isoproturon (ISO); 3-(4-isopropylphenyl)-1,1-dimethylurea",251-835-4,34123-59-6,Aquatic Chronic 1,H410
methomyl (ISO); 1-(methylthio)ethylideneamino N-methylcarbamate,240-815-0,16752-77-5,Acute Tox. 2 *,H300
methomyl (ISO); 1-(methylthio)ethylideneamino N-methylcarbamate,240-815-0,16752-77-5,Aquatic Acute 1,H400
methomyl (ISO); 1-(methylthio)ethylideneamino N-methylcarbamate,240-815-0,16752-77-5,Aquatic Chronic 1,H410
"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",245-216-8,22781-23-3,Acute Tox. 2,H300
"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",245-216-8,22781-23-3,Acute Tox. 3,H331
"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",245-216-8,22781-23-3,Acute Tox. 3,H311
"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",245-216-8,22781-23-3,Aquatic Acute 1,H400
"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",245-216-8,22781-23-3,Aquatic Chronic 1,H410
bufencarb (ISO); reaction mass of 3-(1-methylbutyl)phenyl N-methylcarbamate and 3-(1-ethylpropyl)phenyl N-methylcarbamate,NA,8065-36-9,Acute Tox. 3 *,H311
bufencarb (ISO); reaction mass of 3-(1-methylbutyl)phenyl N-methylcarbamate and 3-(1-ethylpropyl)phenyl N-methylcarbamate,NA,8065-36-9,Acute Tox. 3 *,H301
bufencarb (ISO); reaction mass of 3-(1-methylbutyl)phenyl N-methylcarbamate and 3-(1-ethylpropyl)phenyl N-methylcarbamate,NA,8065-36-9,Aquatic Acute 1,H400
bufencarb (ISO); reaction mass of 3-(1-methylbutyl)phenyl N-methylcarbamate and 3-(1-ethylpropyl)phenyl N-methylcarbamate,NA,8065-36-9,Aquatic Chronic 1,H410
ethiofencarb (ISO); 2-(ethylthiomethyl)phenyl N-methylcarbamate,249-981-9,29973-13-5,Acute Tox. 4 *,H302
ethiofencarb (ISO); 2-(ethylthiomethyl)phenyl N-methylcarbamate,249-981-9,29973-13-5,Aquatic Acute 1,H400
ethiofencarb (ISO); 2-(ethylthiomethyl)phenyl N-methylcarbamate,249-981-9,29973-13-5,Aquatic Chronic 1,H410
"dixanthogen; O,O-diethyl dithiobis(thioformate)",207-944-4,502-55-6,Acute Tox. 4 *,H302
"1,1-dimethyl-3-phenyluronium trichloroacetate; fenuron-TCA",NA,4482-55-7,Skin Irrit. 2,H315
"1,1-dimethyl-3-phenyluronium trichloroacetate; fenuron-TCA",NA,4482-55-7,Aquatic Acute 1,H400
"1,1-dimethyl-3-phenyluronium trichloroacetate; fenuron-TCA",NA,4482-55-7,Aquatic Chronic 1,H410
ferbam (ISO); iron tris(dimethyldithiocarbamate),238-484-2,14484-64-1,STOT SE 3,H335
ferbam (ISO); iron tris(dimethyldithiocarbamate),238-484-2,14484-64-1,Skin Irrit. 2,H315
ferbam (ISO); iron tris(dimethyldithiocarbamate),238-484-2,14484-64-1,Eye Irrit. 2,H319
ferbam (ISO); iron tris(dimethyldithiocarbamate),238-484-2,14484-64-1,Aquatic Acute 1,H400
ferbam (ISO); iron tris(dimethyldithiocarbamate),238-484-2,14484-64-1,Aquatic Chronic 1,H410
"formetanate hydrochloride; 3-(N,N-dimethylaminomethyleneamino)phenyl N-methylcarbamate",245-656-0,23422-53-9,Acute Tox. 2 *,H330
"formetanate hydrochloride; 3-(N,N-dimethylaminomethyleneamino)phenyl N-methylcarbamate",245-656-0,23422-53-9,Acute Tox. 2 *,H300
"formetanate hydrochloride; 3-(N,N-dimethylaminomethyleneamino)phenyl N-methylcarbamate",245-656-0,23422-53-9,Skin Sens. 1,H317
"formetanate hydrochloride; 3-(N,N-dimethylaminomethyleneamino)phenyl N-methylcarbamate",245-656-0,23422-53-9,Aquatic Acute 1,H400
"formetanate hydrochloride; 3-(N,N-dimethylaminomethyleneamino)phenyl N-methylcarbamate",245-656-0,23422-53-9,Aquatic Chronic 1,H410
isoprocarb (ISO); 2-isopropylphenyl N-methylcarbamate,220-114-6,2631-40-5,Acute Tox. 4 *,H302
isoprocarb (ISO); 2-isopropylphenyl N-methylcarbamate,220-114-6,2631-40-5,Aquatic Acute 1,H400
isoprocarb (ISO); 2-isopropylphenyl N-methylcarbamate,220-114-6,2631-40-5,Aquatic Chronic 1,H410
"mexacarbate (ISO); 3,5-dimethyl-4-dimethylaminophenyl N-methylcarbamate",206-249-3,315-18-4,Acute Tox. 2 *,H300
"mexacarbate (ISO); 3,5-dimethyl-4-dimethylaminophenyl N-methylcarbamate",206-249-3,315-18-4,Acute Tox. 4 *,H312
"mexacarbate (ISO); 3,5-dimethyl-4-dimethylaminophenyl N-methylcarbamate",206-249-3,315-18-4,Aquatic Acute 1,H400
"mexacarbate (ISO); 3,5-dimethyl-4-dimethylaminophenyl N-methylcarbamate",206-249-3,315-18-4,Aquatic Chronic 1,H410
"xylylcarb (ISO); 3,4-dimethylphenyl N-methylcarbamate; 3,4-xylyl methylcarbamate; MPMC",219-364-9,2425-10-7,Acute Tox. 4 *,H302
"xylylcarb (ISO); 3,4-dimethylphenyl N-methylcarbamate; 3,4-xylyl methylcarbamate; MPMC",219-364-9,2425-10-7,Aquatic Acute 1,H400
"xylylcarb (ISO); 3,4-dimethylphenyl N-methylcarbamate; 3,4-xylyl methylcarbamate; MPMC",219-364-9,2425-10-7,Aquatic Chronic 1,H410
metolcarb (ISO); m-tolyl methylcarbamate; MTMC,214-446-0,1129-41-5,Acute Tox. 4 *,H302
metolcarb (ISO); m-tolyl methylcarbamate; MTMC,214-446-0,1129-41-5,Aquatic Chronic 2,H411
nitrapyrin (ISO); 2-chloro-6-trichloromethylpyridine,217-682-2,1929-82-4,Acute Tox. 4 *,H302
nitrapyrin (ISO); 2-chloro-6-trichloromethylpyridine,217-682-2,1929-82-4,Aquatic Chronic 2,H411
"noruron (ISO); 1,1-dimethyl-3-(perhydro-4,7-methanoinden-5-yl)urea",NA,2163-79-3,Acute Tox. 4 *,H302
"oxamyl (ISO); N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",245-445-3,23135-22-0,Acute Tox. 2 *,H330
"oxamyl (ISO); N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",245-445-3,23135-22-0,Acute Tox. 2 *,H300
"oxamyl (ISO); N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",245-445-3,23135-22-0,Acute Tox. 4 *,H312
"oxamyl (ISO); N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",245-445-3,23135-22-0,Aquatic Chronic 2,H411
"oxycarboxin (ISO); 2,3-dihydro-6-methyl-5-(N-phenylcarbamoyl)-1,4-oxothiine 4,4-dioxide",226-066-2,5259-88-1,Acute Tox. 4 *,H302
"oxycarboxin (ISO); 2,3-dihydro-6-methyl-5-(N-phenylcarbamoyl)-1,4-oxothiine 4,4-dioxide",226-066-2,5259-88-1,Aquatic Chronic 3,H412
S-ethyl N-(dimethylaminopropyl)thiocarbamatehydrochloride; prothiocarb hydrochloride,243-193-9,19622-19-6,Acute Tox. 4 *,H302
S-ethyl N-(dimethylaminopropyl)thiocarbamatehydrochloride; prothiocarb hydrochloride,243-193-9,19622-19-6,Aquatic Chronic 2,H411
"methyl 3,4-dichlorophenylcarbanilate; SWEP.",NA,1918-18-9,Acute Tox. 4 *,H302
thiobencarb (ISO); S-4-chlorobenzyl diethylthiocarbamate,248-924-5,28249-77-6,Acute Tox. 4 *,H302
thiobencarb (ISO); S-4-chlorobenzyl diethylthiocarbamate,248-924-5,28249-77-6,Aquatic Acute 1,H400
thiobencarb (ISO); S-4-chlorobenzyl diethylthiocarbamate,248-924-5,28249-77-6,Aquatic Chronic 1,H410
"thiofanox (ISO); 3,3-dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime",254-346-4,39196-18-4,Acute Tox. 1,H310
